CS4035,Cyber Data Analytics
CS4065,Multimedia Search and Recommendation
AP3421,Fundamentals of Quantum Information
CS4010,Algorithms for Planning and Scheduling
CS4070,Multivariate Data Analyse
CS4130,Seminar Programming Languages
CS4165,Seminar Social Signal Processing
CS4200,Compiler Construction Project
EE4C06,Networking
ET4388,Ad-hoc Networks
IN4010,Artificial Intelligence Techniques
IN4049,Introduction to High Performance Computing
IN4085,Pattern Recognition
IN4191,Security and Cryptography
IN4252,Web Science & Engineering
IN4301,Advanced Algorithms
IN4307,Medical Visualization
IN4309,Random Signal Processing
IN4310,Seminar Computer Graphics
IN4314,Seminar Selected Topics in Multimedia Computing
IN4326,Seminar Web Information Systems
IN4334,Software Analytics
IN4387,System Validation
IN4392,Cloud Computing
IN4398,Internet of Things seminar
IN4402,Capita Selecta
CS4015,Behaviour Change Support Systems
CS4055,High Performance Data Networking
CS4090,Quantum Communication and Cryptography
CS4106,Dynamic and Static Program Analysis for Software Security
CS4160,Blockchain Engineering
CS4190,Psychology of Programming
IN4086,Data Visualization
IN4150,Distributed Algorithms
IN4302,Building Serious Games
IN4341,Performance Analysis
AP3132,Advanced Digital Image Processing
CS4110,Software Testing and Reverse Engineering
CS4125,Seminar Research Methodology for Data Science
CS4180,Deep Learning
CS4195,Modeling and Data Analysis in Complex Networks
CS4210,Algorithms for Intelligent Decision Making
EE4560,Information Theory
ET4394,Wireless Networking
ET4397,Network Security
IN4152,3D Computer Graphics and Animation
IN4179,Intelligent User Experience Engineering
IN4253,"Hacking Lab"-Applied Security Analysis
IN4315,Software Architecture
IN4320,Machine learning
IN4325,Information Retrieval
IN4343,Real-time Systems
IN4391,Distributed Computing Systems
IN4393,Computer Vision
CS4135,Software Verification
CS4140,Embedded Systems Laboratory
CS4145,Crowd Computing
CS4170,Seminar Intimate Computing
CS4205,Evolutionary Algorithms
ET4030,Error Correcting Codes
ET4285,Measuring and Simulating the Internet
IN4182,Digital Audio and Speech Processing
IN4185,Globally Distributed Software Engineering
IN4254,Smart Phone Sensing
IN4255,Geometric Modeling
IN4306,Literature Survey
IN4331,Web Data Management
IN4333,Language Engineering Project
